ID,Start time,Completion time,Email,Name,Last modified time,Primary Department Question,Average Monthly Overtime,How many years has it been since your last job title change or promotion?,Satisfaction,Risk,"Has your specific department experienced staff layoffs or ""firing"" in the last 12 months?",Security,"If you left today, how easy would it be to find a similar role elsewhere?",Are you actively planning to leave your current company or looking for a new job within the next 6 months?
89,2026-01-14 12:39:47,2026-01-14 12:51:47,anonymous,,,Finance,0 hours,1.0,Dissatisfied,Medium,No,Very Secure,Easy,No
90,2026-01-14 14:36:38,2026-01-14 14:40:38,anonymous,,,Other,11–20 hours,1.0,Very Dissatisfied,Medium,No,Unstable,Neutral,Yes
91,2026-01-14 14:43:07,2026-01-14 14:48:07,anonymous,,,"HR, Sales & Marketing",11–20 hours,1.0,Satisfied,Very Low,Yes,Very Secure,Easy,No
92,2026-01-14 15:31:44,2026-01-14 15:34:44,anonymous,,,Finance,0 hours,6.0,Very Dissatisfied,High,Yes,Medium,Easy,Yes
93,2026-01-14 16:38:55,2026-01-14 16:46:55,anonymous,,,Other,0 hours,0.5,Very Dissatisfied,Medium,Yes,Very Unstable,Neutral,Yes
94,2026-01-14 18:03:59,2026-01-14 18:11:59,anonymous,,,IT / Software Engineering,11–20 hours,1.0,Satisfied,High,No,Unstable,Easy,No
95,2026-01-14 18:42:26,2026-01-14 18:55:26,anonymous,,,IT / Software Engineering,0 hours,3.0,Dissatisfied,Very High,No,Unstable,Easy,Yes
96,2026-01-14 19:14:13,2026-01-14 19:29:13,anonymous,,,Other,11–20 hours,1.0,Dissatisfied,Medium,No,Medium,Very Easy,No
97,2026-01-14 20:04:15,2026-01-14 20:19:15,anonymous,,,Other,1–10 hours,1.0,Neutral,Medium,Yes,Unstable,Easy,No
98,2026-01-14 20:19:08,2026-01-14 20:29:08,anonymous,,,Other,0 hours,0.0,Neutral,Medium,No,Secure,Easy,No
99,2026-01-15 01:37:34,2026-01-15 01:49:34,anonymous,,,Other,0 hours,6.0,Neutral,Medium,No,Unstable,Easy,No
100,2026-01-15 01:52:59,2026-01-15 02:03:59,anonymous,,,Finance,11–20 hours,0.5,Very Dissatisfied,High,No,Very Unstable,Difficult,Yes
101,2026-01-15 02:03:14,2026-01-15 02:11:14,anonymous,,,IT / Software Engineering,20+ hours,2.5,Satisfied,Very High,Yes,Unstable,Very Easy,Yes
102,2026-01-15 03:37:59,2026-01-15 03:47:59,anonymous,,,"HR, Sales & Marketing",1–10 hours,2.5,Very Dissatisfied,Very Low,Yes,Medium,Difficult,No
103,2026-01-15 04:20:48,2026-01-15 04:33:48,anonymous,,,IT / Software Engineering,11–20 hours,2.0,Satisfied,Very High,No,Secure,Neutral,No
104,2026-01-15 06:09:40,2026-01-15 06:12:40,anonymous,,,IT / Software Engineering,11–20 hours,2.0,Very Dissatisfied,High,Yes,Very Unstable,Neutral,Yes
105,2026-01-15 07:26:25,2026-01-15 07:33:25,anonymous,,,Finance,0 hours,0.0,Very Dissatisfied,Medium,Yes,Unstable,Easy,No
106,2026-01-15 08:17:21,2026-01-15 08:30:21,anonymous,,,Other,1–10 hours,6.0,Satisfied,Medium,No,Very Secure,Very Easy,No
107,2026-01-15 09:00:43,2026-01-15 09:08:43,anonymous,,,IT / Software Engineering,20+ hours,1.0,Satisfied,High,No,Medium,Difficult,No
108,2026-01-15 09:01:38,2026-01-15 09:04:38,anonymous,,,Finance,20+ hours,0.5,Neutral,High,Yes,Unstable,Neutral,Yes
109,2026-01-15 09:41:06,2026-01-15 09:49:06,anonymous,,,IT / Software Engineering,11–20 hours,1.0,Dissatisfied,Very High,No,Unstable,Difficult,Yes
110,2026-01-15 10:12:36,2026-01-15 10:25:36,anonymous,,,IT / Software Engineering,20+ hours,6.0,Very Dissatisfied,High,Yes,Very Secure,Easy,Yes
111,2026-01-15 11:06:32,2026-01-15 11:15:32,anonymous,,,"HR, Sales & Marketing",0 hours,1.0,Very Dissatisfied,Low,No,Unstable,Easy,Yes
112,2026-01-15 12:44:44,2026-01-15 12:58:44,anonymous,,,Other,1–10 hours,0.0,Very Dissatisfied,Medium,Yes,Secure,Easy,No
113,2026-01-15 14:47:46,2026-01-15 14:50:46,anonymous,,,Finance,1–10 hours,2.0,Very Dissatisfied,High,No,Very Secure,Very Easy,No
114,2026-01-15 14:54:23,2026-01-15 15:05:23,anonymous,,,IT / Software Engineering,1–10 hours,0.5,Satisfied,High,Yes,Very Secure,Difficult,No
115,2026-01-15 15:26:27,2026-01-15 15:33:27,anonymous,,,Other,0 hours,1.0,Satisfied,Medium,Yes,Secure,Neutral,No
116,2026-01-15 16:06:37,2026-01-15 16:16:37,anonymous,,,Other,1–10 hours,0.0,Dissatisfied,Medium,Yes,Very Secure,Very Easy,No
117,2026-01-15 16:55:27,2026-01-15 17:02:27,anonymous,,,IT / Software Engineering,11–20 hours,2.0,Satisfied,Very High,Yes,Secure,Difficult,No
118,2026-01-15 18:45:58,2026-01-15 18:58:58,anonymous,,,Other,0 hours,2.0,Neutral,Medium,Yes,Very Unstable,Difficult,Yes
119,2026-01-15 19:01:31,2026-01-15 19:08:31,anonymous,,,Other,0 hours,1.0,Satisfied,Medium,No,Secure,Difficult,No
120,2026-01-15 19:20:14,2026-01-15 19:31:14,anonymous,,,Other,20+ hours,3.0,Satisfied,Medium,Yes,Unstable,Neutral,No
121,2026-01-15 19:57:07,2026-01-15 20:04:07,anonymous,,,Finance,0 hours,2.5,Neutral,High,Yes,Unstable,Neutral,Yes
122,2026-01-15 20:00:11,2026-01-15 20:05:11,anonymous,,,"HR, Sales & Marketing",0 hours,0.5,Dissatisfied,Very Low,Yes,Secure,Neutral,No
123,2026-01-15 20:34:34,2026-01-15 20:43:34,anonymous,,,Other,20+ hours,0.5,Neutral,Medium,No,Very Unstable,Very Easy,No
124,2026-01-15 20:50:40,2026-01-15 20:59:40,anonymous,,,Other,1–10 hours,0.0,Satisfied,Medium,Yes,Very Secure,Very Easy,No
125,2026-01-15 21:41:19,2026-01-15 21:56:19,anonymous,,,IT / Software Engineering,20+ hours,1.0,Dissatisfied,Very High,No,Very Unstable,Difficult,Yes
126,2026-01-15 23:54:00,2026-01-16 00:09:00,anonymous,,,Finance,0 hours,5.7,Very Dissatisfied,High,No,Unstable,Easy,Yes
127,2026-01-15 23:28:00,2026-01-15 23:35:00,anonymous,,,IT / Software Engineering,11–20 hours,1.2,Dissatisfied,Very High,No,Medium,Easy,No
128,2026-01-16 21:30:00,2026-01-16 21:38:00,anonymous,,,IT / Software Engineering,1–10 hours,0.6,Neutral,High,No,Very Unstable,Neutral,Yes
129,2026-01-16 05:07:00,2026-01-16 05:19:00,anonymous,,,IT / Software Engineering,20+ hours,2.3,Neutral,Very High,Yes,Unstable,Easy,Yes
130,2026-01-15 22:45:00,2026-01-15 22:49:00,anonymous,,,"HR, Sales & Marketing",11–20 hours,3.1,Dissatisfied,Low,Yes,Very Secure,Easy,No
131,2026-01-16 14:00:00,2026-01-16 14:15:00,anonymous,,,Other,1–10 hours,0.0,Dissatisfied,Medium,Yes,Unstable,Very Easy,No
132,2026-01-16 16:29:00,2026-01-16 16:38:00,anonymous,,,"HR, Sales & Marketing",1–10 hours,3.1,Satisfied,Very Low,No,Very Unstable,Easy,No
133,2026-01-16 09:01:00,2026-01-16 09:10:00,anonymous,,,IT / Software Engineering,11–20 hours,4.2,Very Dissatisfied,High,Yes,Medium,Neutral,Yes
134,2026-01-16 17:52:00,2026-01-16 18:06:00,anonymous,,,Finance,20+ hours,0.7,Neutral,Medium,No,Medium,Easy,No
135,2026-01-16 02:59:00,2026-01-16 03:14:00,anonymous,,,Other,11–20 hours,2.3,Dissatisfied,Medium,No,Very Unstable,Very Easy,No
136,2026-01-16 00:31:00,2026-01-16 00:45:00,anonymous,,,"HR, Sales & Marketing",20+ hours,5.3,Dissatisfied,Low,No,Secure,Neutral,No
137,2026-01-16 06:40:00,2026-01-16 06:55:00,anonymous,,,"HR, Sales & Marketing",20+ hours,0.0,Satisfied,Very Low,Yes,Very Unstable,Easy,Yes
138,2026-01-16 16:38:00,2026-01-16 16:51:00,anonymous,,,Finance,0 hours,3.0,Very Dissatisfied,High,No,Very Secure,Difficult,Yes
139,2026-01-16 15:49:00,2026-01-16 15:51:00,anonymous,,,Finance,20+ hours,4.2,Very Dissatisfied,Medium,Yes,Unstable,Neutral,Yes
140,2026-01-16 13:28:00,2026-01-16 13:31:00,anonymous,,,IT / Software Engineering,11–20 hours,5.8,Dissatisfied,Very High,No,Unstable,Very Easy,Yes
141,2026-01-16 08:56:00,2026-01-16 09:05:00,anonymous,,,Other,1–10 hours,4.6,Satisfied,Medium,Yes,Secure,Neutral,No
142,2026-01-16 09:33:00,2026-01-16 09:36:00,anonymous,,,IT / Software Engineering,0 hours,2.5,Satisfied,High,Yes,Unstable,Neutral,Yes
143,2026-01-16 21:10:00,2026-01-16 21:13:00,anonymous,,,IT / Software Engineering,0 hours,2.8,Neutral,Very High,Yes,Secure,Neutral,Yes
144,2026-01-16 07:32:00,2026-01-16 07:40:00,anonymous,,,Finance,11–20 hours,5.6,Dissatisfied,High,No,Unstable,Easy,Yes
145,2026-01-16 19:00:00,2026-01-16 19:05:00,anonymous,,,IT / Software Engineering,20+ hours,0.5,Neutral,High,No,Unstable,Easy,Yes
146,2026-01-16 17:19:00,2026-01-16 17:29:00,anonymous,,,"HR, Sales & Marketing",0 hours,4.2,Very Dissatisfied,Very Low,Yes,Unstable,Easy,No
147,2026-01-16 11:14:00,2026-01-16 11:28:00,anonymous,,,"HR, Sales & Marketing",1–10 hours,0.7,Satisfied,Low,No,Medium,Neutral,No
148,2026-01-15 23:49:00,2026-01-16 00:04:00,anonymous,,,IT / Software Engineering,1–10 hours,0.3,Dissatisfied,Very High,No,Secure,Very Easy,Yes
149,2026-01-16 13:17:00,2026-01-16 13:30:00,anonymous,,,IT / Software Engineering,1–10 hours,4.5,Neutral,High,Yes,Very Secure,Easy,No
150,2026-01-16 14:51:00,2026-01-16 15:01:00,anonymous,,,"HR, Sales & Marketing",1–10 hours,2.5,Satisfied,Very Low,No,Very Unstable,Difficult,No
151,2026-01-16 02:59:00,2026-01-16 03:12:00,anonymous,,,IT / Software Engineering,11–20 hours,1.7,Neutral,Very High,Yes,Secure,Easy,Yes
152,2026-01-16 12:16:00,2026-01-16 12:19:00,anonymous,,,Finance,1–10 hours,4.6,Neutral,Medium,Yes,Secure,Neutral,No
153,2026-01-16 09:23:00,2026-01-16 09:28:00,anonymous,,,IT / Software Engineering,0 hours,0.8,Neutral,High,No,Very Secure,Neutral,No
154,2026-01-16 07:10:00,2026-01-16 07:24:00,anonymous,,,IT / Software Engineering,11–20 hours,3.1,Very Dissatisfied,Very High,No,Secure,Very Easy,Yes
155,2026-01-16 00:42:00,2026-01-16 00:56:00,anonymous,,,IT / Software Engineering,1–10 hours,0.0,Dissatisfied,High,Yes,Very Unstable,Difficult,Yes
156,2026-01-16 09:34:00,2026-01-16 09:36:00,anonymous,,,Other,1–10 hours,5.9,Very Dissatisfied,Medium,Yes,Very Secure,Difficult,No
157,2026-01-16 11:18:00,2026-01-16 11:20:00,anonymous,,,Finance,20+ hours,5.6,Neutral,High,Yes,Very Secure,Neutral,Yes
158,2026-01-16 03:38:00,2026-01-16 03:51:00,anonymous,,,IT / Software Engineering,0 hours,1.2,Very Dissatisfied,Very High,Yes,Very Unstable,Neutral,Yes
159,2026-01-16 21:36:00,2026-01-16 21:41:00,anonymous,,,IT / Software Engineering,11–20 hours,5.7,Neutral,High,No,Secure,Very Easy,No
160,2026-01-16 11:01:00,2026-01-16 11:06:00,anonymous,,,IT / Software Engineering,20+ hours,1.5,Neutral,Very High,No,Very Secure,Difficult,No
161,2026-01-16 21:05:00,2026-01-16 21:10:00,anonymous,,,Other,20+ hours,5.5,Satisfied,Medium,No,Unstable,Neutral,No
162,2026-01-16 06:56:00,2026-01-16 07:02:00,anonymous,,,IT / Software Engineering,0 hours,4.0,Neutral,High,Yes,Secure,Very Easy,No
163,2026-01-16 14:21:00,2026-01-16 14:24:00,anonymous,,,"HR, Sales & Marketing",11–20 hours,2.2,Satisfied,Low,No,Very Unstable,Difficult,No
164,2026-01-16 06:36:00,2026-01-16 06:43:00,anonymous,,,Finance,0 hours,2.0,Dissatisfied,High,No,Unstable,Difficult,Yes
165,2026-01-16 16:11:00,2026-01-16 16:13:00,anonymous,,,Finance,20+ hours,3.1,Neutral,Medium,Yes,Medium,Easy,No
166,2026-01-16 17:52:00,2026-01-16 18:05:00,anonymous,,,Other,11–20 hours,5.5,Satisfied,Medium,Yes,Unstable,Difficult,No
167,2026-01-16 19:34:00,2026-01-16 19:37:00,anonymous,,,IT / Software Engineering,11–20 hours,1.9,Very Dissatisfied,High,Yes,Secure,Easy,Yes
168,2026-01-16 04:15:00,2026-01-16 04:18:00,anonymous,,,Other,1–10 hours,5.7,Neutral,Medium,Yes,Unstable,Very Easy,No
169,2026-01-16 03:16:00,2026-01-16 03:22:00,anonymous,,,Finance,0 hours,0.1,Very Dissatisfied,High,No,Unstable,Difficult,Yes
170,2026-01-16 05:59:00,2026-01-16 06:04:00,anonymous,,,Other,1–10 hours,5.2,Dissatisfied,Medium,Yes,Medium,Difficult,No
171,2026-01-16 12:09:00,2026-01-16 12:22:00,anonymous,,,IT / Software Engineering,20+ hours,0.8,Satisfied,Very High,Yes,Very Unstable,Easy,Yes
172,2026-01-15 23:50:00,2026-01-15 23:55:00,anonymous,,,IT / Software Engineering,11–20 hours,2.0,Very Dissatisfied,High,No,Unstable,Very Easy,Yes
173,2026-01-16 11:05:00,2026-01-16 11:16:00,anonymous,,,IT / Software Engineering,1–10 hours,2.3,Dissatisfied,Very High,No,Secure,Difficult,No
174,2026-01-16 00:16:00,2026-01-16 00:29:00,anonymous,,,IT / Software Engineering,11–20 hours,5.8,Very Dissatisfied,Very High,No,Unstable,Very Easy,Yes
175,2026-01-16 09:47:00,2026-01-16 10:01:00,anonymous,,,Finance,20+ hours,1.7,Neutral,High,Yes,Unstable,Neutral,Yes
176,2026-01-16 21:16:00,2026-01-16 21:19:00,anonymous,,,IT / Software Engineering,20+ hours,3.1,Very Dissatisfied,High,Yes,Secure,Very Easy,Yes
177,2026-01-16 10:17:00,2026-01-16 10:30:00,anonymous,,,IT / Software Engineering,1–10 hours,3.5,Very Dissatisfied,High,No,Medium,Very Easy,No
178,2026-01-15 22:30:00,2026-01-15 22:35:00,anonymous,,,Other,0 hours,5.4,Dissatisfied,Medium,Yes,Very Secure,Very Easy,No